Job,Skills
Data Engineer,"Apache Spark, Data Warehousing, Python, SQL, Hadoop, ETL"
Business Analyst,"Stakeholder Management, Requirements Gathering, Data Analysis"
Network Engineer,"Network Protocols, Routing, Cisco"
Salesforce Developer,"Apex, Integration, Lightning Components, SOQL, Salesforce CRM"
QA Engineer,"Test Cases, Automated Testing, JIRA, Manual Testing"
Mobile App Developer,"React Native, Xcode, Swift"
Data Engineer,"Apache Spark, ETL, Hadoop, Python, SQL"
IT Support Specialist,"Networking, Software, Hardware, Troubleshooting, Ticketing Systems, Customer Service"
Digital Marketing Specialist,"SEO, SEM, Social Media Marketing, Email Marketing, Google Analytics, Content Marketing"
Game Developer,"C#, 3D Modeling, C++, Game Physics, Unity, Unreal Engine"
AI Research Scientist,"Python, Machine Learning, Reinforcement Learning"
AI Research Scientist,"Python, Deep Learning, Reinforcement Learning, Machine Learning, Natural Language Processing"
Systems Analyst,"System Design, Data Flow Diagrams, Requirements Gathering, UML, Process Modeling"
Blockchain Developer,"Blockchain Protocols, Smart Contracts, Cryptography, Ethereum, Solidity"
Data Engineer,"Data Warehousing, Apache Spark, SQL, Python, ETL, Hadoop"
Data Scientist,"SQL, Data Visualization, R, Pandas, Python, Machine Learning"
Product Manager,"Product Lifecycle, Agile, Market Research, Roadmapping, Scrum, JIRA"
Product Manager,"JIRA, Scrum, Product Lifecycle"
Big Data Analyst,"SQL, Python, Spark, Data Visualization, Hive"
Embedded Systems Engineer,"Microcontrollers, Hardware Debugging, Embedded Linux, RTOS, C++"
Salesforce Developer,"Apex, Integration, Salesforce CRM"
IT Support Specialist,"Networking, Troubleshooting, Ticketing Systems, Customer Service, Software"
ML Engineer,"Scikit-learn, TensorFlow, NumPy"
Big Data Analyst,"Data Visualization, Hadoop, Spark, Hive"
AI Research Scientist,"Python, Deep Learning, Reinforcement Learning, Natural Language Processing, Machine Learning"
Digital Marketing Specialist,"Social Media Marketing, SEM, Content Marketing"
Network Engineer,"Switching, Firewalls, VPN, Routing"
Embedded Systems Engineer,"RTOS, Hardware Debugging, C++, Embedded Linux"
Blockchain Developer,"Smart Contracts, Cryptography, Solidity, Ethereum, Blockchain Protocols"
Product Manager,"Scrum, Product Lifecycle, Agile, Roadmapping, Market Research, JIRA"
Data Engineer,"ETL, Hadoop, Apache Spark, SQL, Python"
UI/UX Designer,"User Research, Prototyping, Wireframing"
UI/UX Designer,"User Research, Wireframing, Adobe XD"
Backend Developer,"Node.js, SQL, Java, Django, Spring Boot"
Scrum Master,"Agile, Team Facilitation, Scrum"
Cloud Architect,"Docker, Terraform, Kubernetes"
Data Engineer,"Data Warehousing, SQL, Apache Spark"
Full Stack Developer,"React, CSS, Python, JavaScript, Node.js"
ERP Consultant,"Oracle ERP, Data Migration, Business Process Modeling, Customization, SAP"
ML Engineer,"PyTorch, Pandas, NumPy, Python, Scikit-learn"
Scrum Master,"Sprint Planning, Agile, Retrospectives, Scrum"
QA Engineer,"Test Cases, Bug Tracking, Automated Testing, Manual Testing, Selenium, JIRA"
Product Manager,"Product Lifecycle, JIRA, Scrum, Market Research, Roadmapping"
Systems Analyst,"Process Modeling, UML, Requirements Gathering, System Design"
Network Engineer,"Switching, Routing, Cisco, VPN, Firewalls, Network Protocols"
Full Stack Developer,"Python, HTML, React, Node.js, CSS"
UI/UX Designer,"Adobe XD, Sketch, Wireframing, Figma, Prototyping"
QA Engineer,"Test Cases, Bug Tracking, JIRA, Manual Testing, Selenium, Automated Testing"
Backend Developer,"Java, Python, SQL, Spring Boot, Node.js, Django"
ML Engineer,"PyTorch, NumPy, Scikit-learn, Python, Pandas"
Business Analyst,"Process Modeling, Stakeholder Management, Requirements Gathering, Data Analysis, UML"
Cloud Architect,"Kubernetes, Google Cloud, AWS"
Business Analyst,"UML, Data Analysis, Stakeholder Management, Process Modeling, Requirements Gathering"
UI/UX Designer,"Sketch, Figma, Adobe XD, User Research"
Product Manager,"Agile, Product Lifecycle, Market Research"
Business Analyst,"Requirements Gathering, Process Modeling, Stakeholder Management, Data Analysis, UML"
Digital Marketing Specialist,"SEO, Google Analytics, Content Marketing"
Mobile App Developer,"Kotlin, Android Studio, React Native, Swift, Xcode, Flutter"
Security Engineer,"Firewalls, Cybersecurity, Penetration Testing, SIEM"
Full Stack Developer,"HTML, React, CSS, JavaScript, Python, Node.js"
Embedded Systems Engineer,"C, RTOS, C++, Microcontrollers, Embedded Linux, Hardware Debugging"
Cybersecurity Analyst,"Firewalls, Penetration Testing, Incident Response, SIEM, Encryption"
Cloud Architect,"Terraform, Kubernetes, Docker, Google Cloud"
Business Analyst,"Process Modeling, Requirements Gathering, Stakeholder Management, Data Analysis, UML"
Digital Marketing Specialist,"Content Marketing, SEO, Email Marketing, Social Media Marketing"
Security Engineer,"Network Security, Penetration Testing, Encryption, Firewalls, Cybersecurity, SIEM"
Scrum Master,"JIRA, Retrospectives, Agile"
AI Research Scientist,"Deep Learning, Natural Language Processing, Reinforcement Learning"
Embedded Systems Engineer,"C++, RTOS, Hardware Debugging, C, Microcontrollers, Embedded Linux"
Security Engineer,"Cybersecurity, Penetration Testing, Network Security, Firewalls, SIEM"
Technical Writer,"Git, Markdown, Content Management Systems"
Network Engineer,"Network Protocols, Switching, Firewalls"
Blockchain Developer,"Cryptography, Blockchain Protocols, Ethereum"
Network Engineer,"Firewalls, Switching, Routing"
Network Engineer,"Routing, VPN, Network Protocols, Firewalls, Cisco, Switching"
QA Engineer,"Test Cases, Automated Testing, Selenium, Bug Tracking, Manual Testing, JIRA"
Digital Marketing Specialist,"Google Analytics, Email Marketing, Social Media Marketing, SEM, SEO"
Database Administrator,"PostgreSQL, SQL, MongoDB, Database Optimization, MySQL"
UI/UX Designer,"User Research, Wireframing, Figma, Sketch, Adobe XD, Prototyping"
Frontend Developer,"HTML, JavaScript, CSS, Angular"
Security Engineer,"Network Security, Encryption, Cybersecurity, Penetration Testing, SIEM, Firewalls"
Mobile App Developer,"Xcode, Flutter, React Native, Kotlin, Swift"
ERP Consultant,"Business Process Modeling, Customization, SAP, ERP Implementation, Oracle ERP, Data Migration"
ML Engineer,"Python, Scikit-learn, PyTorch, Pandas, NumPy, TensorFlow"
Scrum Master,"Scrum, Sprint Planning, Retrospectives"
Embedded Systems Engineer,"C++, RTOS, C, Embedded Linux"
Security Engineer,"Penetration Testing, Firewalls, Encryption"
Scrum Master,"Team Facilitation, Retrospectives, JIRA, Sprint Planning, Scrum, Agile"
Product Manager,"JIRA, Product Lifecycle, Agile"
Cloud Architect,"Docker, Terraform, Kubernetes, Google Cloud, AWS"
Systems Analyst,"Process Modeling, System Design, Data Flow Diagrams, Requirements Gathering, UML"
Solution Architect,"Security, Microservices, Cloud Architecture, APIs"
ML Engineer,"TensorFlow, NumPy, Python"
Full Stack Developer,"HTML, JavaScript, Node.js, Python, CSS, React"
Backend Developer,"SQL, Node.js, Java, Django, Spring Boot"
Backend Developer,"Django, Python, Java"
IT Support Specialist,"Customer Service, Ticketing Systems, Troubleshooting"
ML Engineer,"PyTorch, Python, Pandas"
ERP Consultant,"Customization, ERP Implementation, Oracle ERP, Business Process Modeling, Data Migration"
Backend Developer,"Python, Java, SQL, Django, Spring Boot, Node.js"
Full Stack Developer,"HTML, Node.js, JavaScript, CSS"
Cybersecurity Analyst,"Penetration Testing, Encryption, Firewalls, Threat Hunting, SIEM"
Scrum Master,"JIRA, Scrum, Team Facilitation"
Database Administrator,"PostgreSQL, Database Optimization, NoSQL, MongoDB, MySQL, SQL"
Systems Analyst,"Requirements Gathering, Process Modeling, Data Flow Diagrams, UML"
Digital Marketing Specialist,"SEO, Google Analytics, SEM, Email Marketing, Social Media Marketing"
IT Support Specialist,"Troubleshooting, Ticketing Systems, Software, Customer Service"
Solution Architect,"Microservices, Cloud Architecture, Security, APIs"
ERP Consultant,"Oracle ERP, SAP, Business Process Modeling, ERP Implementation"
Game Developer,"C#, C++, 3D Modeling, Unity, Game Physics, Unreal Engine"
Frontend Developer,"Angular, React, JavaScript, HTML"
Database Administrator,"Database Optimization, NoSQL, MongoDB"
Product Manager,"Scrum, Market Research, Roadmapping, Product Lifecycle, JIRA"
Blockchain Developer,"Blockchain Protocols, Ethereum, Cryptography, Smart Contracts"
Embedded Systems Engineer,"RTOS, Embedded Linux, Microcontrollers, Hardware Debugging"
AI Research Scientist,"Natural Language Processing, Deep Learning, Python"
Scrum Master,"Retrospectives, Sprint Planning, Team Facilitation, Scrum, JIRA, Agile"
Big Data Analyst,"Hive, Hadoop, Python, SQL, Data Visualization, Spark"
ML Engineer,"Pandas, Python, TensorFlow, Scikit-learn, NumPy"
Full Stack Developer,"Python, CSS, React, Node.js"
DevOps Engineer,"AWS, Docker, CI/CD"
Big Data Analyst,"Hadoop, Python, Hive, SQL, Spark"
Systems Analyst,"UML, System Design, Data Flow Diagrams, Requirements Gathering, Process Modeling"
Database Administrator,"MongoDB, MySQL, PostgreSQL, Database Optimization, NoSQL"
Network Engineer,"Firewalls, Routing, Network Protocols, VPN, Cisco"
Salesforce Developer,"SOQL, Integration, Lightning Components"
IT Support Specialist,"Networking, Software, Customer Service"
Full Stack Developer,"Node.js, CSS, JavaScript, Python"
Digital Marketing Specialist,"Social Media Marketing, Google Analytics, SEM, Email Marketing, Content Marketing"
Technical Writer,"Markdown, Content Management Systems, API Documentation, Git"
Product Manager,"Market Research, JIRA, Agile, Scrum, Roadmapping"
Cybersecurity Analyst,"Penetration Testing, Encryption, SIEM, Threat Hunting, Firewalls, Incident Response"
Data Scientist,"Machine Learning, Python, SQL"
ML Engineer,"Python, Scikit-learn, NumPy, Pandas, TensorFlow, PyTorch"
Network Engineer,"VPN, Routing, Network Protocols, Cisco, Switching, Firewalls"
Data Scientist,"Data Visualization, SQL, Pandas, R, Machine Learning"
Technical Writer,"Content Management Systems, Markdown, Git"
Game Developer,"Unreal Engine, C#, Game Physics"
Blockchain Developer,"Cryptography, Smart Contracts, Ethereum, Blockchain Protocols"
AI Research Scientist,"Deep Learning, Machine Learning, Natural Language Processing, Reinforcement Learning, Python"
Cybersecurity Analyst,"Penetration Testing, Incident Response, Threat Hunting, Firewalls, Encryption"
Solution Architect,"Microservices, Cloud Architecture, Security, APIs"
Security Engineer,"Encryption, Firewalls, Cybersecurity, Penetration Testing, SIEM, Network Security"
IT Support Specialist,"Networking, Customer Service, Troubleshooting, Ticketing Systems"
Business Analyst,"UML, Stakeholder Management, Data Analysis, Requirements Gathering, Process Modeling"
Security Engineer,"Encryption, Firewalls, SIEM, Network Security, Penetration Testing, Cybersecurity"
Salesforce Developer,"Integration, Apex, SOQL, Lightning Components, Visualforce"
ERP Consultant,"Oracle ERP, Business Process Modeling, SAP, Data Migration, ERP Implementation, Customization"
Big Data Analyst,"Spark, SQL, Python, Data Visualization, Hadoop"
DevOps Engineer,"Jenkins, Kubernetes, CI/CD, Linux, Docker, AWS"
AI Research Scientist,"Natural Language Processing, Machine Learning, Python, Reinforcement Learning, Deep Learning"
Product Manager,"Scrum, Agile, Roadmapping, Market Research, Product Lifecycle"
DevOps Engineer,"Docker, Linux, Kubernetes, Jenkins"
Cybersecurity Analyst,"Incident Response, SIEM, Penetration Testing, Firewalls"
ERP Consultant,"Oracle ERP, Customization, ERP Implementation, Data Migration, SAP"
Blockchain Developer,"Blockchain Protocols, Cryptography, Solidity, Smart Contracts, Ethereum"
ML Engineer,"NumPy, TensorFlow, Scikit-learn"
Scrum Master,"Agile, Scrum, Retrospectives, Team Facilitation, JIRA"
DevOps Engineer,"AWS, Kubernetes, Jenkins"
Data Engineer,"Data Warehousing, ETL, Hadoop"
Technical Writer,"Markdown, API Documentation, Content Management Systems, Git, Technical Documentation"
Product Manager,"Scrum, Product Lifecycle, JIRA"
Data Engineer,"ETL, Data Warehousing, Hadoop, Apache Spark"
ML Engineer,"TensorFlow, NumPy, Scikit-learn"
UI/UX Designer,"Figma, User Research, Adobe XD"
Mobile App Developer,"Android Studio, React Native, Xcode, Kotlin"
Cloud Architect,"AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform"
DevOps Engineer,"Kubernetes, CI/CD, Docker, Linux"
Cloud Architect,"Kubernetes, Docker, AWS, Google Cloud, Azure, Terraform"
Systems Analyst,"Process Modeling, Requirements Gathering, System Design, UML"
Database Administrator,"PostgreSQL, MySQL, Database Optimization, SQL, MongoDB"
Salesforce Developer,"Apex, Lightning Components, Integration, Visualforce, SOQL, Salesforce CRM"
Blockchain Developer,"Cryptography, Blockchain Protocols, Ethereum, Solidity, Smart Contracts"
Scrum Master,"Scrum, Retrospectives, JIRA, Team Facilitation, Sprint Planning"
Data Scientist,"Pandas, SQL, R, Data Visualization"
Security Engineer,"Encryption, Penetration Testing, Cybersecurity, Firewalls, SIEM"
Full Stack Developer,"Node.js, HTML, Python, JavaScript"
Game Developer,"C#, Unity, Game Physics, Unreal Engine, 3D Modeling, C++"
Data Scientist,"R, Data Visualization, Pandas, Python, SQL, Machine Learning"
IT Support Specialist,"Ticketing Systems, Troubleshooting, Customer Service"
Mobile App Developer,"Android Studio, Xcode, Swift, React Native, Flutter, Kotlin"
ML Engineer,"PyTorch, Python, Scikit-learn, NumPy"
Data Engineer,"Python, SQL, Data Warehousing, ETL, Apache Spark"
Business Analyst,"Process Modeling, Data Analysis, Requirements Gathering, Stakeholder Management"
AI Research Scientist,"Machine Learning, Deep Learning, Natural Language Processing, Python, Reinforcement Learning"
Blockchain Developer,"Cryptography, Smart Contracts, Ethereum"
Full Stack Developer,"JavaScript, React, Node.js, CSS, HTML, Python"
Product Manager,"Roadmapping, Product Lifecycle, Agile, JIRA, Market Research, Scrum"
DevOps Engineer,"Linux, Kubernetes, Docker, CI/CD"
ML Engineer,"Scikit-learn, PyTorch, NumPy, Pandas, Python"
Embedded Systems Engineer,"Microcontrollers, C++, C, Hardware Debugging"
Game Developer,"Unity, Unreal Engine, C#, C++, 3D Modeling, Game Physics"
Scrum Master,"Agile, JIRA, Team Facilitation"
Embedded Systems Engineer,"C, RTOS, Hardware Debugging"
Salesforce Developer,"Apex, Lightning Components, Salesforce CRM, Integration"
Product Manager,"Market Research, Product Lifecycle, Scrum"
QA Engineer,"Bug Tracking, JIRA, Selenium, Automated Testing, Manual Testing"
Embedded Systems Engineer,"RTOS, Microcontrollers, C, Hardware Debugging"
Digital Marketing Specialist,"Email Marketing, SEO, Social Media Marketing, Content Marketing"
ERP Consultant,"Customization, SAP, Oracle ERP, Business Process Modeling, ERP Implementation"
Solution Architect,"Cloud Architecture, Security, APIs, System Design"
Frontend Developer,"HTML, JavaScript, React"
Full Stack Developer,"JavaScript, HTML, React"
Full Stack Developer,"JavaScript, HTML, React, Node.js"
Blockchain Developer,"Ethereum, Smart Contracts, Solidity"
Technical Writer,"Markdown, Git, Technical Documentation, Content Management Systems"
UI/UX Designer,"Adobe XD, User Research, Prototyping, Figma, Sketch, Wireframing"
Mobile App Developer,"Swift, Flutter, Android Studio, Kotlin, Xcode"
Systems Analyst,"Process Modeling, Requirements Gathering, UML, Data Flow Diagrams, System Design"
Cybersecurity Analyst,"Penetration Testing, SIEM, Threat Hunting"
Systems Analyst,"UML, Process Modeling, System Design, Data Flow Diagrams, Requirements Gathering"
Big Data Analyst,"SQL, Data Visualization, Hive, Spark"
Technical Writer,"Content Management Systems, Markdown, Git, Technical Documentation, API Documentation"
Full Stack Developer,"Python, HTML, CSS, Node.js, React, JavaScript"
UI/UX Designer,"Prototyping, Sketch, Figma, Wireframing, User Research, Adobe XD"
IT Support Specialist,"Troubleshooting, Software, Customer Service, Hardware, Ticketing Systems, Networking"
ML Engineer,"Pandas, PyTorch, Python, NumPy"
Frontend Developer,"Angular, JavaScript, HTML"
Big Data Analyst,"SQL, Hive, Python, Data Visualization, Hadoop"
Digital Marketing Specialist,"Social Media Marketing, Content Marketing, Email Marketing, SEO, SEM"
Digital Marketing Specialist,"Social Media Marketing, Email Marketing, Content Marketing, SEM, Google Analytics"
